hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
TKFEN,582756150,3891662.0,1.0,0.43
SISE,1081784163,-104578295.0,-10.0,-3.64
EKGYO,2514887923,-237618400.0,-9.0,-1.34
SOKE,17241141,594227.0,3.0,0.4
KLKIM,62833352,-3922113.0,-6.0,-1.93
MEPET,6162571,-1444443.0,-23.0,-2.09
BJKAS,251477831,6092540.0,2.0,0.12
TUREX,67479984,-11119792.0,-16.0,-27.56
ALGYO,49100086,-16187595.0,-33.0,-6.43
GMSTR,239030667,22828843.0,10.0,22.29
KUYAS,90331713,11121537.0,12.0,2.79
ISGYO,79187658,-2759048.0,-3.0,-0.68
SELEC,98731800,6912103.0,7.000000000000001,4.68
KRONT,25152933,942995.0,4.0,0.79
USDTR,77438124,-2587471.0,-3.0,-112.51
ISFIN,34606256,1148933.0,3.0,0.42
BAGFS,16123532,-2644816.0,-16.0,-3.56
SARKY,42692056,4273671.0,10.0,1.88
ASTOR,1361133089,11190119.0,1.0,0.98
BTCIM,339333467,-32584580.0,-10.0,-0.42
LKMNH,27843552,5105186.0,18.0,3.73
ERBOS,13055073,1008241.0,8.0,13.35
RAYSG,162903350,-22670676.0,-14.000000000000002,-51.28
DMSAS,48050112,1999245.0,4.0,0.41
KZBGY,32827170,-3307950.0,-10.0,-0.54
YATAS,24830137,1116103.0,4.0,1.23
DOCO,58902940,4540515.0,8.0,568.49
ESCOM,39973458,4940352.0,12.0,6.02
OZSUB,44909666,2067181.0,5.0,1.66
KLMSN,29995613,-3526943.0,-12.0,-3.09
SUMAS,114472676,0.0,0.0,0.0
KARTN,64877515,8634585.0,13.0,14.55
IPEKE,293396671,26569764.0,9.0,5.39
DOBUR,71297142,-7885317.0,-11.0,-21.11
SAFKR,52935411,7385878.0,14.000000000000002,8.09
HTTBT,49638233,538667.0,1.0,0.43
SONME,8814840,-128836.0,-1.0,-1.25
FROTO,1490820894,-7558578.0,-1.0,-4.7
EMKEL,112347817,2073245.0,2.0,0.32
RYGYO,51957830,6669261.0,13.0,2.06
LOGO,86493255,-5354693.0,-6.0,-7.16
KOZAL,1879770586,267447695.0,14.000000000000002,3.39
ALCTL,73130427,6317094.0,9.0,12.29
DIRIT,320138913,0.0,0.0,0.0
EUHOL,1044004646,0.0,0.0,0.0
MIATK,238057186,-21894068.0,-9.0,-3.35
OSTIM,102026485,2483761.0,2.0,0.26
GSDDE,17995767,-926198.0,-5.0,-0.44
AVTUR,5951018,-22618.0,-0.0,-0.04
ORGE,96343929,-9624378.0,-10.0,-8.47
QUAGR,54559931,3378354.0,6.0,0.21
TEZOL,145972583,-2519332.0,-2.0,-0.32
KTSKR,28732628,5484243.0,19.0,11.4
AGESA,64942880,-4750361.0,-7.000000000000001,-10.27
TTRAK,111174230,4988554.0,4.0,30.88
BIOEN,36217080,2386408.0,7.000000000000001,0.99
MTRYO,9807827,315742.0,3.0,0.24
KLGYO,38729310,-973080.0,-3.0,-0.12
JANTS,38554341,1091071.0,3.0,0.7
ANSGR,494493574,1098955.0,0.0,0.25
EGSER,16919635,-262480.0,-2.0,-0.06
BRKO,544889946,0.0,0.0,0.0
MAALT,24264626,-2775887.0,-11.0,-88.31
SAMAT,30221666,521580.0,2.0,0.33
KNFRT,22820806,-4623301.0,-20.0,-2.4
Z30KP,359881392,95046343.0,26.0,36.73
BRMEN,141677042,0.0,0.0,0.0
DENGE,82425622,7859968.0,10.0,0.32
GEREL,46719400,4342206.0,9.0,0.82
ETYAT,6418697,-2239527.0,-35.0,-3.6
cvkmd,202119444,-28517719.0,-14.000000000000002,-1.38
PGSUS,1542267963,-246448366.0,-16.0,-37.83
PSGYO,82889202,3760015.0,5.0,0.07
CEMAS,55005907,2227631.0,4.0,0.12
ADESE,74146422,-6536757.0,-9.0,-0.18
SANKO,11591384,177394.0,2.0,0.35
ANHYT,110133473,-649243.0,-1.0,-0.59
PNLSN,29217369,1899591.0,7.000000000000001,2.88
GENIL,48295200,-6567564.0,-14.000000000000002,-15.48
ZOREN,236064271,-28316182.0,-12.0,-0.48
CMENT,244444990,0.0,0.0,0.0
BOSSA,18731015,1018363.0,5.0,0.34
SRVGY,102000147,15037353.0,15.0,34.01
VANGD,15944114,841880.0,5.0,1.25
PRKAB,22605271,4070661.0,18.0,5.45
ARASE,26108887,-1967876.0,-8.0,-3.6
PRKME,17601648,-209799.0,-1.0,-0.24
KFEIN,55638609,589014.0,1.0,1.12
AGYO,8395205,-2635681.0,-31.0,-2.18
KRDMB,110676870,9472344.0,9.0,2.25
GRSEL,258199462,-49109406.0,-19.0,-43.27
FONET,48292505,1392326.0,3.0,0.45
HATEK,34703723,3859110.0,11.0,1.93
ZPLIB,309191780,44402832.0,14.000000000000002,23.55
ORMA,196659879,0.0,0.0,0.0
DGATE,51331469,2203311.0,4.0,2.45
VERTU,14706677,-1277079.0,-9.0,-3.04
IDGYO,7269960,-1171291.0,-16.0,-0.43
CCOLA,260613208,7389050.0,3.0,1.61
TRCAS,53220117,-7265266.0,-14.000000000000002,-3.71
BNTAS,18743352,270060.0,1.0,0.16
DESPC,30027475,5283734.0,18.0,8.67
KONYA,80409478,9475592.0,12.0,735.57
BAYRK,39631487,2710567.0,7.000000000000001,1.28
INFO,15913915,-2674788.0,-17.0,-0.4
SAYAS,49480056,1719918.0,3.0,1.46
MTRKS,17768200,1486970.0,8.0,1.65
